,frame,height,width,left_iris_x,left_iris_y,left_iris_r,right_iris_x,right_iris_y,right_iris_r,left_pupil_x,left_pupil_y,left_pupil_r,right_pupil_x,right_pupil_y,right_pupil_r,gaze_x,gaze_y,gaze_z
0,0,480,640,,,,389.0,265.0,6.0,,,,385.0,268.0,1.0,1.40604207889833,12.834641383036539,-2.2453886774451552
1,1,480,640,455.0,273.0,5.0,388.0,265.0,6.0,457.0,269.0,1.0,385.0,267.0,2.0,0.21894931257903885,13.611126437685721,-2.4075473337833353
2,2,480,640,460.0,277.0,5.0,395.0,270.0,6.0,461.0,276.0,0.0,390.0,270.0,1.0,-0.3987157883261645,12.96670045150951,-2.501786619682534
3,3,480,640,469.0,282.0,4.0,407.0,276.0,5.0,468.0,278.0,1.0,403.0,279.0,1.0,-0.5005378439438505,11.67774993808919,-2.7775065732018325
4,4,480,640,474.0,285.0,4.0,409.0,278.0,6.0,472.0,282.0,1.0,404.0,281.0,2.0,-0.5797667214693801,12.041983754086253,-2.6772831602192886
5,5,480,640,478.0,291.0,5.0,412.0,283.0,6.0,474.0,286.0,0.0,408.0,286.0,2.0,-1.3559910411304905,12.79645553788082,-2.7230229136126933
6,6,480,640,477.0,295.0,5.0,419.0,290.0,5.0,477.0,290.0,1.0,416.0,293.0,1.0,-2.3111549865322005,12.97755573782885,-2.6660744605141313
7,7,480,640,480.0,297.0,4.0,421.0,293.0,6.0,477.0,293.0,1.0,417.0,295.0,1.0,-1.9039919409532626,12.102758686439623,-2.890249677908376
8,8,480,640,481.0,297.0,5.0,421.0,293.0,6.0,482.0,293.0,1.0,417.0,296.0,2.0,-2.3216390523212946,11.952715660965069,-2.652365882575324
9,9,480,640,484.0,298.0,6.0,425.0,294.0,6.0,485.0,294.0,1.0,422.0,298.0,1.0,-2.4730012271389636,11.955361597789842,-2.833396316474445
10,10,480,640,487.0,299.0,5.0,429.0,295.0,5.0,487.0,296.0,2.0,426.0,299.0,1.0,-1.8010208592847752,12.170926924539778,-2.6959924230456878
11,11,480,640,490.0,299.0,5.0,438.0,296.0,5.0,490.0,297.0,1.0,439.0,299.0,1.0,-1.9767755759463261,12.879781880521366,-2.9543984551281834
12,12,480,640,492.0,299.0,5.0,432.0,294.0,6.0,490.0,297.0,2.0,428.0,297.0,1.0,-1.1307406387351098,11.949191551000228,-2.789503823834229
13,13,480,640,494.0,301.0,5.0,432.0,295.0,6.0,491.0,298.0,1.0,429.0,298.0,1.0,-2.5332132862892682,12.906875425423092,-2.510454604880227
14,14,480,640,495.0,303.0,5.0,434.0,296.0,5.0,492.0,299.0,1.0,430.0,298.0,1.0,-2.108513762432491,13.011732265261346,-2.757232361084889
15,15,480,640,496.0,304.0,5.0,437.0,298.0,6.0,493.0,300.0,1.0,434.0,302.0,1.0,-1.802994141864045,13.486322064350219,-2.529744110187372
16,16,480,640,496.0,304.0,5.0,436.0,298.0,6.0,493.0,302.0,1.0,432.0,301.0,1.0,-2.513046655555886,13.308228529872554,-2.4803446546896906
17,17,480,640,497.0,306.0,5.0,437.0,299.0,6.0,494.0,303.0,2.0,433.0,302.0,2.0,-2.324971309323631,13.181180773192676,-2.7250083865488235
18,18,480,640,498.0,308.0,5.0,444.0,304.0,5.0,495.0,305.0,1.0,447.0,305.0,1.0,-0.9805391716877567,13.369651305592551,-2.8868775578756107
19,19,480,640,497.0,309.0,5.0,443.0,304.0,5.0,494.0,305.0,1.0,446.0,306.0,1.0,-1.671143932621366,13.384189079685505,-2.6428342860950487
20,20,480,640,497.0,308.0,5.0,442.0,303.0,6.0,494.0,306.0,1.0,445.0,306.0,1.0,-2.562408105162075,13.199374106737714,-2.5785096101774037
21,21,480,640,498.0,309.0,5.0,442.0,304.0,6.0,495.0,305.0,1.0,445.0,306.0,1.0,-2.9492804840985234,13.267699005216267,-2.5147794409618425
22,22,480,640,498.0,309.0,5.0,439.0,303.0,6.0,496.0,305.0,1.0,436.0,307.0,1.0,-2.1647138517385134,13.733960691682302,-2.572063819263203
23,23,480,640,497.0,309.0,5.0,434.0,301.0,6.0,494.0,305.0,1.0,430.0,304.0,1.0,-2.057765449637922,13.279058102866786,-2.5048613601331926
24,24,480,640,495.0,308.0,5.0,442.0,306.0,6.0,494.0,305.0,2.0,443.0,307.0,1.0,-1.382753206887474,13.272359437009133,-2.9430125394463227
25,25,480,640,494.0,308.0,5.0,440.0,306.0,5.0,494.0,305.0,2.0,443.0,307.0,1.0,-1.839515740218359,13.31258075827755,-2.8501383737359864
26,26,480,640,492.0,307.0,5.0,432.0,303.0,6.0,494.0,304.0,1.0,428.0,306.0,2.0,-3.7280773973211283,12.524895213844736,-2.5911174327057496
27,27,480,640,492.0,306.0,5.0,432.0,302.0,6.0,493.0,302.0,1.0,428.0,304.0,2.0,-2.9833288851058866,12.574705774206883,-2.8047399328927662
28,28,480,640,492.0,305.0,5.0,433.0,302.0,6.0,492.0,303.0,1.0,429.0,305.0,1.0,-2.56539632515494,12.033313274156038,-2.716692360697504
29,29,480,640,490.0,307.0,5.0,435.0,302.0,6.0,491.0,305.0,1.0,431.0,306.0,1.0,-2.2348126659148235,13.322434926834813,-2.7202179968491196
30,30,480,640,491.0,307.0,5.0,434.0,300.0,6.0,492.0,303.0,1.0,431.0,304.0,1.0,-2.228606875323885,13.561789034998897,-2.6550535314305854
31,31,480,640,491.0,303.0,5.0,439.0,300.0,5.0,489.0,302.0,2.0,441.0,302.0,1.0,-3.0473580226522765,14.063921628710775,-2.51420623693066
32,32,480,640,493.0,304.0,5.0,436.0,300.0,5.0,490.0,300.0,1.0,439.0,303.0,1.0,-2.579974112597625,13.9632135695525,-2.4404857789556256
33,33,480,640,492.0,303.0,5.0,432.0,296.0,6.0,489.0,302.0,0.0,427.0,299.0,1.0,-3.2884922468383055,13.52798815369132,-2.216757598009071
34,34,480,640,491.0,302.0,5.0,431.0,294.0,6.0,489.0,298.0,1.0,429.0,298.0,2.0,-3.0925832419945087,12.997751572237481,-2.33436892500749
35,35,480,640,491.0,301.0,5.0,430.0,293.0,5.0,489.0,297.0,0.0,426.0,296.0,1.0,-2.5248510518546587,12.641772077845664,-2.4889771103448957
36,36,480,640,489.0,301.0,4.0,428.0,292.0,6.0,486.0,297.0,0.0,424.0,296.0,1.0,-3.16507292013531,13.273326671196799,-2.342232579988719
37,37,480,640,489.0,300.0,4.0,426.0,290.0,6.0,486.0,296.0,0.0,422.0,294.0,1.0,-2.5063885526425054,12.476459669898883,-2.453547098501117
38,38,480,640,488.0,300.0,5.0,427.0,291.0,6.0,487.0,298.0,0.0,423.0,295.0,1.0,-2.3770442501819353,12.635557459069261,-2.4978280338966012
39,39,480,640,490.0,300.0,5.0,427.0,292.0,5.0,488.0,296.0,0.0,424.0,295.0,1.0,-3.358644874152221,12.837088888289554,-2.365011334946897
40,40,480,640,488.0,299.0,4.0,426.0,291.0,5.0,485.0,297.0,0.0,422.0,294.0,1.0,-2.4918764022515054,12.08186231708296,-2.47070589334216
41,41,480,640,488.0,300.0,5.0,426.0,292.0,6.0,486.0,296.0,0.0,423.0,296.0,1.0,-3.19721096036479,12.181136378617351,-2.287177039129827
42,42,480,640,488.0,300.0,4.0,423.0,291.0,6.0,485.0,296.0,0.0,420.0,295.0,1.0,-2.5464388463288166,12.296897675788175,-2.3969891548095883
43,43,480,640,486.0,300.0,5.0,425.0,292.0,6.0,484.0,296.0,0.0,421.0,295.0,1.0,-2.0012769863788122,12.200902999199219,-2.5348340116589196
44,44,480,640,487.0,300.0,5.0,425.0,293.0,5.0,485.0,296.0,0.0,422.0,296.0,1.0,-2.2601327305328787,12.665309085798754,-2.328951080839172
45,45,480,640,484.0,298.0,4.0,424.0,292.0,5.0,484.0,295.0,2.0,420.0,295.0,1.0,-2.9375714579325956,12.705062836347393,-2.280612094816033
46,46,480,640,485.0,299.0,4.0,425.0,291.0,5.0,482.0,295.0,0.0,421.0,295.0,1.0,-3.1689753029204724,12.75977797899394,-2.3729910122274074
47,47,480,640,482.0,298.0,5.0,420.0,290.0,6.0,480.0,294.0,0.0,416.0,293.0,1.0,-3.3467593153068713,13.189322227494902,-2.2091244024573324
48,48,480,640,477.0,295.0,5.0,422.0,292.0,5.0,478.0,294.0,1.0,422.0,295.0,2.0,-3.3560124873199615,12.083175900986298,-2.5657878126159073
49,49,480,640,477.0,296.0,5.0,423.0,292.0,6.0,479.0,294.0,0.0,425.0,296.0,2.0,-2.3763478229567943,12.083453957671168,-2.700689329109526
50,50,480,640,477.0,295.0,5.0,419.0,291.0,6.0,479.0,293.0,1.0,416.0,295.0,1.0,-2.722647442378858,12.324836610875648,-2.5526333591074697
51,51,480,640,475.0,293.0,6.0,417.0,291.0,5.0,477.0,295.0,1.0,413.0,295.0,1.0,-3.116578992708491,12.322947826208992,-2.50676272478175
52,52,480,640,475.0,294.0,6.0,418.0,290.0,5.0,475.0,296.0,2.0,414.0,294.0,1.0,-2.6851393986241483,12.029320904738887,-2.555786057879511
53,53,480,640,477.0,296.0,5.0,418.0,290.0,5.0,478.0,292.0,2.0,414.0,294.0,1.0,-2.8959871360187646,12.490803605319684,-2.427440712929345
54,54,480,640,476.0,297.0,5.0,418.0,289.0,5.0,477.0,294.0,1.0,418.0,287.0,4.0,-3.272599315836841,11.678438952213297,-2.475905586283481
